ISO,filler,Date,Dataset
CIV,,2020-12-16,Cases
FRA,,2020-12-12,Cases
SPM,,2020-12-10,Cases
THA,,2020-11-23,Cases
THA,,2020-11-22,Cases
FRA,,2020-11-04,Cases
THA,,2020-10-17,Cases
ECU,,2020-09-07,Cases
SMR,,2020-09-05,Cases
MCO,,2020-09-02,Cases
LUX,,2020-08-28,Cases
CYP,,2020-08-27,Cases
GMB,,2020-08-24,Cases
MLT,,2020-08-16,Cases
PNG,,2020-08-13,Cases
YEM,,2020-08-11,Cases
TWN,,2020-08-09,Cases
TWN,,2020-08-03,Cases
NER,,2020-07-27,Cases
THA,,2020-07-22,Cases
JOR,,2020-07-21,Cases
FIN,,2020-07-16,Cases
FIN,,2020-07-15,Cases
ATG,,2020-07-03,Cases
FRA,,2020-06-28,Cases
ITA,,2020-06-19,Cases
REU,,2020-06-16,Cases
CHN,,2020-06-03,Cases
FRA,,2020-06-03,Cases
FRA,,2020-06-02,Cases
ESP,,2020-05-25,Cases
FRA,,2020-05-24,Cases
UGA,,2020-05-21,Cases
BEN,,2020-05-19,Cases
NPL,,2020-05-14,Cases
GIB,,2020-05-13,Cases
HND,,2020-05-12,Cases
ECU,,2020-05-11,Cases
MDG,,2020-05-11,Cases
SMR,,2020-05-10,Cases
ECU,,2020-05-08,Cases
REU,,2020-05-08,Cases
ECU,,2020-05-07,Cases
NZL,,2020-05-04,Cases
ZWE,,2020-05-02,Cases
PRT,,2020-05-02,Cases
FRA,,2020-04-29,Cases
MUS,,2020-04-29,Cases
LTU,,2020-04-28,Cases
NZL,,2020-04-26,Cases
ESP,,2020-04-24,Cases
FRA,,2020-04-23,Cases
UGA,,2020-04-18,Cases
URY,,2020-04-12,Cases
FRA,,2020-04-07,Cases
FRA,,2020-04-04,Cases
NCL,,2020-04-04,Cases
TCA,,2020-04-02,Cases
GUY,,2020-03-24,Cases
ISR,,2020-03-11,Cases
BLM,,2020-03-09,Cases
