ISO,filler,Date,Dataset
BIH,,2020-12-28,Deaths
TJK,,2020-12-13,Deaths
FRA,,2020-12-12,Deaths
IRL,,2020-12-08,Deaths
CYP,,2020-11-08,Deaths
NGA,,2020-11-08,Deaths
FRA,,2020-11-04,Deaths
MLT,,2020-11-03,Deaths
FRA,,2020-10-25,Deaths
FIN,,2020-10-23,Deaths
CHE,,2020-10-21,Deaths
ABW,,2020-10-14,Deaths
AUT,,2020-10-11,Deaths
AGO,,2020-10-08,Deaths
SWE,,2020-10-06,Deaths
IRL,,2020-10-02,Deaths
FIN,,2020-09-30,Deaths
REU,,2020-09-24,Deaths
COG,,2020-09-10,Deaths
SOM,,2020-09-04,Deaths
FRA,,2020-09-04,Deaths
MCO,,2020-09-02,Deaths
SWE,,2020-08-31,Deaths
BEL,,2020-08-26,Deaths
KGZ,,2020-08-21,Deaths
VNM,,2020-08-19,Deaths
CUB,,2020-08-14,Deaths
ESP,,2020-08-12,Deaths
NLD,,2020-08-11,Deaths
CZE,,2020-08-07,Deaths
CZE,,2020-08-04,Deaths
EST,,2020-08-02,Deaths
LBY,,2020-07-30,Deaths
IRL,,2020-07-30,Deaths
NLD,,2020-07-27,Deaths
PNG,,2020-07-22,Deaths
FRA,,2020-07-21,Deaths
AUT,,2020-07-21,Deaths
NLD,,2020-07-18,Deaths
FIN,,2020-07-15,Deaths
NLD,,2020-07-14,Deaths
NLD,,2020-07-10,Deaths
IRL,,2020-07-08,Deaths
DEU,,2020-07-06,Deaths
CZE,,2020-07-05,Deaths
MYT,,2020-07-05,Deaths
CZE,,2020-07-04,Deaths
CZE,,2020-06-28,Deaths
ITA,,2020-06-24,Deaths
CZE,,2020-06-13,Deaths
CZE,,2020-06-11,Deaths
JPN,,2020-06-06,Deaths
AUS,,2020-06-01,Deaths
FIN,,2020-06-01,Deaths
IRL,,2020-06-01,Deaths
IRL,,2020-05-25,Deaths
ESP,,2020-05-25,Deaths
FRA,,2020-05-24,Deaths
FRA,,2020-05-19,Deaths
CZE,,2020-05-18,Deaths
DNK,,2020-05-12,Deaths
VEN,,2020-05-01,Deaths
LUX,,2020-04-14,Deaths
DEU,,2020-04-11,Deaths
FIN,,2020-04-06,Deaths
CYP,,2020-04-05,Deaths
KAZ,,2020-04-04,Deaths
SRB,,2020-03-26,Deaths
SVK,,2020-03-22,Deaths
IND,,2020-03-21,Deaths
ISL,,2020-03-20,Deaths
PHL,,2020-03-19,Deaths
ISL,,2020-03-16,Deaths
