ISO,Country,General government net lending/borrowing (Percent of GDP),"Gross domestic product, current prices (Purchasing power parity; international dollars: Billions)",Unemployment rate (Percent of total labor force)
ABW,Aruba,-2.223,4.377,7.283
AFG,Afghanistan,1.502,73.091,
AGO,Angola,2.189,200.4,
ALB,Albania,-1.346,38.301,12.3
ARE,United Arab Emirates,1.966,722.015,
ARG,Argentina,-5.493,915.749,9.2
ARM,Armenia,-1.755,30.534,20.4
ATG,Antigua and Barbuda,-3.1,2.583,
AUS,Australia,-0.942,1314.459,5.292
AUT,Austria,0.198,461.331,4.883
AZE,Azerbaijan,5.547,180.084,4.994
BDI,Burundi,-5.274,8.413,
BEL,Belgium,-0.74,555.502,5.958
BEN,Benin,-2.974,37.545,
BFA,Burkina Faso,-4.355,43.99,
BGD,Bangladesh,-4.641,763.99,
BGR,Bulgaria,0.123,162.516,5.2
BHR,Bahrain,-11.944,74.271,3.894
BHS,The Bahamas,-3.377,12.357,10.35
BIH,Bosnia and Herzegovina,1.658,47.59,18.4
BLR,Belarus,1.813,189.46,0.428
BLZ,Belize,-0.97,3.291,9.377
BOL,Bolivia,-8.144,89.258,3.493
BRA,Brazil,-7.166,3382.591,12.258
BRB,Barbados,-0.299,5.344,10.05
BRN,Brunei Darussalam,-3.559,34.662,9.316
BTN,Bhutan,-3.287,7.406,
BWA,Botswana,-4.588,41.911,
CAF,Central African Republic,-0.972,4.008,
CAN,Canada,-0.397,1841.626,5.833
CHE,Switzerland,1.391,551.473,2.547
CHL,Chile,-1.465,481.282,7.377
CHN,China,-4.655,25293.584,3.8
CIV,Côte d'Ivoire,-2.945,145.533,
CMR,Cameroon,-2.487,95.309,
COD,Democratic Republic of the Congo,-0.048,78.297,
COG,Republic of Congo,6.617,30.964,
COL,Colombia,-4.676,747.536,9.7
COM,Comoros,-1.038,2.441,
CPV,Cabo Verde,-2.818,4.047,12.2
CRI,Costa Rica,-5.905,88.637,11.951
CYP,Cyprus,-4.377,35.147,8.35
CZE,Czech Republic,0.891,395.747,2.243
DEU,Germany,1.867,4342.909,3.4
DJI,Djibouti,-2.782,5.723,
DMA,Dominica,-19.73,0.763,
DNK,Denmark,0.477,306.755,5.083
DOM,Dominican Republic,-2.16,186.519,5.656
DZA,Algeria,-4.468,652.795,11.731
ECU,Ecuador,-3.132,200.015,3.69
EGY,Egypt,-9.41,1295.434,10.932
ERI,Eritrea,4.212,6.238,
ESP,Spain,-2.537,1854.031,15.255
EST,Estonia,-0.462,45.036,5.371
ETH,Ethiopia,-3.029,219.739,
FIN,Finland,-0.828,258.786,7.417
FJI,Fiji,-5.515,10.397,4.5
FRA,France,-2.274,2970.43,9.025
FSM,Micronesia,24.986,0.352,
GAB,Gabon,-0.211,37.84,
GBR,United Kingdom,-2.217,3065.042,4.075
GEO,Georgia,-0.817,44.784,12.7
GHA,Ghana,-6.972,189.707,
GIN,Guinea,-1.063,31.066,
GMB,The Gambia,-6.197,5.947,
GNB,Guinea-Bissau,-4.844,3.473,
GNQ,Equatorial Guinea,0.51,29.525,
GRC,Greece,0.868,312.267,19.3
GRD,Grenada,4.581,1.731,
GTM,Guatemala,-1.891,144.985,
GUY,Guyana,-3.543,6.712,
HKG,Hong Kong SAR,2.35,479.662,2.816
HND,Honduras,0.198,49.2,4.076
HRV,Croatia,0.234,107.554,9.858
HTI,Haiti,-1.719,20.733,
HUN,Hungary,-2.149,314.5,3.708
IDN,Indonesia,-1.75,3495.968,5.34
IND,India,-6.27,10413.608,
IRL,Ireland,0.052,389.143,5.75
IRN,Islamic Republic of Iran,-1.897,1586.222,12.025
IRQ,Iraq,7.893,669.906,
ISL,Iceland,0.818,19.332,2.742
ISR,Israel,-3.621,336.992,4
ITA,Italy,-2.199,2405.497,10.625
JAM,Jamaica,1.181,27.171,9.125
JOR,Jordan,-4.737,92.74,18.6
JPN,Japan,-2.429,5577.565,2.442
KAZ,Kazakhstan,2.58,508.817,4.854
KEN,Kenya,-7.365,177.954,
KGZ,Kyrgyz Republic,-0.59,24.539,6.605
KHM,Cambodia,0.717,70.662,
KIR,Kiribati,-1.148,0.242,
KNA,St. Kitts and Nevis,1.151,1.582,
KOR,Korea,2.569,2235.287,3.833
KWT,Kuwait,9.045,301.172,1.087
LAO,Lao P.D.R.,-4.663,53.623,
LBN,Lebanon,-11.287,88.615,
LBR,Liberia,-5.099,6.33,
LBY,Libya,-0.194,74.719,
LCA,St. Lucia,-0.997,2.835,
LKA,Sri Lanka,-5.296,292.279,4.4
LSO,Lesotho,-4.444,6.713,
LTU,Lithuania,0.662,97.436,6.146
LUX,Luxembourg,2.664,66.125,5.1
LVA,Latvia,-0.74,57.199,7.415
MAC,Macao SAR,14.155,78.143,1.8
MAR,Morocco,-3.736,314.709,9.8
MDA,Moldova,-1.057,25.897,3.022
MDG,Madagascar,-1.329,49.6,
MDV,Maldives,-5.232,7.883,
MEX,Mexico,-2.201,2575.206,3.33
MHL,Marshall Islands,2.538,0.202,
MKD,North Macedonia,-1.763,32.93,20.725
MLI,Mali,-4.77,44.337,
MLT,Malta,1.905,21.658,3.667
