Country,ISO,Date,Dataset
China,CHN,2/13/2020 0:00,Cases
France,FRA,4/12/2020 0:00,Cases
France,FRA,4/16/2020 0:00,Cases
China,CHN,4/17/2020 0:00,Deaths
Finland,FIN,4/21/2020 0:00,Deaths
Ireland,IRL,4/24/2020 0:00,Deaths
Lithuania,LTU,4/28/2020 0:00,Cases
Belgium,BEL,5/6/2020 0:00,Deaths
Chile,CHL,6/8/2020 0:00,Deaths
Spain,ESP,6/19/2020 0:00,Deaths
India,IND,6/16/2020 0:00,Deaths
Kazakhstan,KAZ,7/1/2020 0:00,Cases
Philippines,PHL,7/12/2020 0:00,Deaths
Kyrgyzstan,KGZ,7/18/2020 0:00,Cases
Peru,PER,7/23/2020 0:00,Deaths
Peru,PER,8/14/2020 0:00,Deaths
Isreal,ISR,8/19/2020 0:00,Deaths
Belgium,BEL,8/26/2020 0:00,Deaths
Ecuador,ECU,9/6/2020 0:00,Cases
Ecuador,ECU,9/7/2020 0:00,Deaths
Argentina,ARG,10/1/2020 0:00,Deaths
Mexico,MEX,10/5/2020 0:00,Cases
Mexico,MEX,10/5/2020 0:00,Deaths
