Country,Code,ISO,Pop (1000s)
Aruba,533,ABW,106.766
Afghanistan,4,AFG,38928.341
Angola,24,AGO,32866.268
Anguilla,660,AIA,15.002
Albania,8,ALB,2877.8
Andorra,20,AND,77.265
United Arab Emirates,784,ARE,9890.4
Argentina,32,ARG,45195.777
Armenia,51,ARM,2963.234
American Samoa,16,ASM,55.197
Antigua and Barbuda,28,ATG,97.928
Australia,36,AUS,25499.881
Austria,40,AUT,9006.4
Azerbaijan,31,AZE,10139.175
Burundi,108,BDI,11890.781
Belgium,56,BEL,11589.616
Benin,204,BEN,12123.198
Burkina Faso,854,BFA,20903.278
Bangladesh,50,BGD,164689.383
Bulgaria,100,BGR,6948.445
Bahrain,48,BHR,1701.583
Bahamas,44,BHS,393.248
Bosnia and Herzegovina,70,BIH,3280.815
Saint Barthélemy,652,BLM,9.885
Belarus,112,BLR,9449.321
Belize,84,BLZ,397.621
Bermuda,60,BMU,62.273
Bolivia (Plurinational State of),68,BOL,11673.029
Brazil,76,BRA,212559.409
Barbados,52,BRB,287.371
Brunei Darussalam,96,BRN,437.483
Bhutan,64,BTN,771.612
Botswana,72,BWA,2351.625
Central African Republic,140,CAF,4829.764
Canada,124,CAN,37742.157
Switzerland,756,CHE,8654.618
Chile,152,CHL,19116.209
China,156,CHN,1439323.774
Côte d'Ivoire,384,CIV,26378.275
Cameroon,120,CMR,26545.864
Democratic Republic of the Congo,180,COD,89561.404
Congo,178,COG,5518.092
Cook Islands,184,COK,17.564
Colombia,170,COL,50882.884
Comoros,174,COM,869.595
Cabo Verde,132,CPV,555.988
Costa Rica,188,CRI,5094.114
Cuba,192,CUB,11326.616
Cayman Islands,136,CYM,65.72
Cyprus,196,CYP,1207.361
Czechia,203,CZE,10708.982
Germany,276,DEU,83783.945
Djibouti,262,DJI,988.002
Dominica,212,DMA,71.991
Denmark,208,DNK,5792.203
Dominican Republic,214,DOM,10847.904
Algeria,12,DZA,43851.043
Ecuador,218,ECU,17643.06
Egypt,818,EGY,102334.403
Eritrea,232,ERI,3546.427
Western Sahara,732,ESH,597.33
Spain,724,ESP,46754.783
Estonia,233,EST,1326.539
Ethiopia,231,ETH,114963.583
Finland,246,FIN,5540.718
Fiji,242,FJI,896.444
Falkland Islands (Malvinas),238,FLK,3.483
France,250,FRA,65273.512
Faroe Islands,234,FRO,48.865
Micronesia (Fed. States of),583,FSM,115.021
Micronesia,954,FSM,548.927
Gabon,266,GAB,2225.728
United Kingdom,826,GBR,67886.004
Georgia,268,GEO,3989.175
Ghana,288,GHA,31072.945
Gibraltar,292,GIB,33.691
Guinea,324,GIN,13132.792
Guadeloupe,312,GLP,400.127
Gambia,270,GMB,2416.664
Guinea-Bissau,624,GNB,1967.998
Equatorial Guinea,226,GNQ,1402.985
Greece,300,GRC,10423.056
Grenada,308,GRD,112.519
Greenland,304,GRL,56.772
Guatemala,320,GTM,17915.567
French Guiana,254,GUF,298.682
Guam,316,GUM,168.783
Guyana,328,GUY,786.559
"China, Hong Kong SAR",344,HKG,7496.988
Honduras,340,HND,9904.608
Croatia,191,HRV,4105.268
Haiti,332,HTI,11402.533
Hungary,348,HUN,9660.35
Indonesia,360,IDN,273523.621
Isle of Man,833,IMN,85.032
India,356,IND,1380004.385
Ireland,372,IRL,4937.796
Iran (Islamic Republic of),364,IRN,83992.953
Iraq,368,IRQ,40222.503
Iceland,352,ISL,341.25
Israel,376,ISR,8655.541
Italy,380,ITA,60461.828
Jamaica,388,JAM,2961.161
Jordan,400,JOR,10203.14
Japan,392,JPN,126476.458
Kazakhstan,398,KAZ,18776.707
Kenya,404,KEN,53771.3
Kyrgyzstan,417,KGZ,6524.191
Cambodia,116,KHM,16718.971
Kiribati,296,KIR,119.446
Saint Kitts and Nevis,659,KNA,53.192
Republic of Korea,410,KOR,51269.183
Kuwait,414,KWT,4270.563
Lao People's Democratic Republic,418,LAO,7275.556
Lebanon,422,LBN,6825.442
Liberia,430,LBR,5057.677
Libya,434,LBY,6871.287
Saint Lucia,662,LCA,183.629
Liechtenstein,438,LIE,38.137
