Rank,Country,ISO,Score,Categorical Rank
122,Afghanistan,AFG,37.7,Worse
84,Albania,ALB,30.25,Okay
146,Algeria,DZA,45.52,Worse
37,Andorra,AND,23.23,Better
106,Angola,AGO,33.92,Okay
64,Argentina,ARG,28.78,Okay
61,Armenia,ARM,28.6,Okay
26,Australia,AUS,20.21,Better
18,Austria,AUT,15.78,Better
168,Azerbaijan,AZE,58.48,Worst
169,Bahrain,BHR,60.13,Worst
151,Bangladesh,BGD,49.37,Worse
153,Belarus,BLR,49.75,Worse
12,Belgium,BEL,12.57,Best
53,Belize,BLZ,27.5,Okay
113,Benin,BEN,35.11,Worse
67,Bhutan,BTN,28.9,Okay
114,Bolivia,BOL,35.37,Worse
58,Bosnia-Herzegovina,BIH,28.51,Okay
39,Botswana,BWA,23.56,Better
107,Brazil,BRA,34.05,Okay
152,Brunei,BRN,49.65,Worse
111,Bulgaria,BGR,35.06,Worse
38,Burkina Faso,BFA,23.47,Better
160,Burundi,BDI,55.33,Worst
25,Cabo Verde,CPV,20.15,Better
144,Cambodia,KHM,45.46,Worse
134,Cameroon,CMR,43.28,Worse
16,Canada,CAN,15.29,Better
132,Central African Republic,CAF,42.87,Worse
123,Chad,TCD,39.7,Worse
51,Chile,CHL,27.31,Okay
177,China,CHN,78.48,Worst
130,Colombia,COL,42.66,Worse
75,Comoros,COM,29.77,Okay
118,Congo-Brazzaville,COG,36.56,Worse
7,Costa Rica,CRI,10.53,Best
68,Côte d’Ivoire,CIV,28.94,Okay
59,Croatia,HRV,28.51,Okay
171,Cuba,CUB,63.81,Worst
27,Cyprus,CYP,20.45,Better
40,Czech Republic,CZE,23.57,Better
150,Democratic Republic of Congo,COD,49.09,Worse
3,Denmark,DNK,8.13,Best
176,Djibouti,DJI,76.73,Worst
55,Dominican Republic,DOM,27.9,Okay
98,Ecuador,ECU,32.62,Okay
166,Egypt,EGY,56.82,Worst
74,El Salvador,SLV,29.7,Okay
165,Equatorial Guinea,GNQ,56.38,Worst
178,Eritrea,ERI,83.5,Worst
14,Estonia,EST,12.61,Best
141,Eswatini,SWZ,45.15,Worse
99,Ethiopia,ETH,32.82,Okay
52,Fiji,FJI,27.41,Okay
2,Finland,FIN,7.93,Best
34,France,FRA,22.92,Better
121,Gabon,GAB,37.2,Worse
87,Gambia,GMB,30.62,Okay
60,Georgia,GEO,28.59,Okay
11,Germany,DEU,12.16,Best
30,Ghana,GHA,22.26,Better
65,Greece,GRC,28.8,Okay
116,Guatemala,GTM,35.74,Worse
110,Guinea,GIN,34.34,Okay
94,Guinea Bissau,GNB,32.06,Okay
49,Guyana,GUY,26.63,Okay
83,Haïti,HTI,30.2,Okay
148,Honduras,HND,48.2,Worse
80,Hong Kong,HKG,30.01,Okay
89,Hungary,HUN,30.84,Okay
15,Iceland,ISL,15.12,Better
142,India,IND,45.33,Worse
119,Indonesia,IDN,36.82,Worse
173,Iran,IRN,64.81,Worst
162,Iraq,IRQ,55.37,Worst
13,Ireland,IRL,12.6,Best
88,Israel,ISR,30.84,Okay
41,Italy,ITA,23.69,Better
6,Jamaica,JAM,10.51,Best
66,Japan,JPN,28.86,Okay
128,Jordan,JOR,42.08,Worse
157,Kazakhstan,KAZ,54.11,Worse
103,Kenya,KEN,33.72,Okay
70,Kosovo,KOS,29.33,Okay
109,Kuwait,KWT,34.3,Okay
82,Kyrgyzstan,KGZ,30.19,Okay
172,Laos,LAO,64.28,Worst
22,Latvia,LVA,18.56,Better
102,Lebanon,LBN,33.19,Okay
86,Lesotho,LSO,30.45,Okay
95,Liberia,LBR,32.25,Okay
164,Libya,LBY,55.77,Worst
24,Liechtenstein,LIE,19.52,Better
28,Lithuania,LTU,21.19,Better
17,Luxembourg,LUX,15.46,Better
54,Madagascar,MDG,27.68,Okay
69,Malawi,MWI,29.32,Okay
101,Malaysia,MYS,33.12,Okay
79,Maldives,MDV,29.93,Okay
108,Mali,MLI,34.12,Okay
81,Malta,MLT,30.16,Okay
